rowid,person,notes
184,Zibeon the Hivite,Gen. 36
185,Basemath,Gen. 36
186,Eliphaz,Son of Esau (Gen. 36:4)
187,Reuel,Son of Esau (Gen. 36:4)
188,Jeush,Son of Esau (Gen. 36:5)
189,Jalam,Son of Esau (Gen. 36:5)
190,Korah,Son of Esau (Gen. 36:5)
191,Teman,Gen. 36:11
192,Omar,Gen. 36:11
193,Zepho,Gen. 36:11
194,Gatam,Gen. 36:11
195,Kenaz,Gen. 36:11
196,Timna,Gen. 36:12
197,Amalek,Gen. 36:12
198,Nahath,Gen. 36:13
199,Zerah,Son of Reuel (Gen. 36:13)
200,Shammah,Gen. 36:13
201,Mizzah,Gen. 36:13
202,Bath-shua,"Daughter of Shua the Canaanite woman, cf. 1 Chr. 2:3 (Gen. 38)"
203,Er,Gen. 38
204,Onan,Gen. 38
205,Shelah,Gen. 38
206,Tamar,Gen. 38
208,Perez,Gen. 38
209,Zerah,Gen. 38
210,Asenath,Gen. 41:50-52
211,Potiphera preist of On,Gen. 41:50-52
212,Manasseh,Gen. 41:50-52
213,Ephraim,Gen. 41:50-52
214,Hanoch,Gen. 46:9
215,Pallu,Gen. 46:9
216,Hezron,Son of Reuben (Gen. 46:9)
217,Carmi,Gen. 46:9
218,Jemuel,Gen. 46:10
219,Jamin,Gen. 46:10
220,Ohad,Gen. 46:10
221,Jachin,Gen. 46:10
222,Zohar,Gen. 46:10
223,Shaul,Gen. 46:10
224,Gershon,Gen. 46:11
225,Kohath,Gen. 46:11
226,Merari,Gen. 46:11
227,Hezron,Son of Perez (Gen. 46:12)
228,Hamul,Gen. 46:12
229,Tola,Gen. 46:13
230,Puvah,Gen. 46:13
231,Yob,Gen. 46:13
232,Shimron,Gen. 46:13
233,Sered,Gen. 46:14
234,Elon,Gen. 46:14
235,Jahleel,Gen. 46:14
236,Ziphion,Gen. 46:16
237,Haggi,Gen. 46:16
238,Shuni,Gen. 46:16
239,Ezbon,Gen. 46:16
240,Eri,Gen. 46:16
241,Arodi,Gen. 46:16
242,Areli,Gen. 46:16
243,Imnah,Gen. 46:17
244,Ishvah,Gen. 46:17
245,Ishvi,Gen. 46:17
246,Beriah,Gen. 46:17
247,Serah,Gen. 46:17
248,Heber,Gen. 46:17
249,Malchiel,Gen. 46:17
250,Bela,Gen. 46:21
251,Becher,Gen. 46:21
252,Ashbel,Gen. 46:21
253,Gera,Gen. 46:21
254,Naaman,Gen. 46:21
255,Ehi,Gen. 46:21
256,Rosh,Gen. 46:21
257,Muppim,Gen. 46:21
258,Huppim,Gen. 46:21
259,Ard,Gen. 46:21
260,Hushim,Gen. 46:23
261,Jahzeel,Gen. 46:24
262,Guni,Gen. 46:24
263,Jezer,Gen. 46:24
264,Shillem,Gen. 46:24
265,Machir,Gen. 50:23
266,the Philistines,Gen. 10:14
267,Seir the Horite,Gen. 36
268,Lotan,Gen. 36
269,Shobal,Gen. 36
270,Dishon,Gen. 36
271,Ezer,Gen. 36
272,Dishan,Gen. 36
273,Hori,Gen. 36
274,Hemam,Gen. 36
275,Alvan,Gen. 36
276,Manahath,Gen. 36
277,Ebal,Gen. 36
278,Shepho,Gen. 36
279,Onam,Gen. 36
280,Aiah,Gen. 36
281,Hemdan,Gen. 36
282,Eshban,Gen. 36
283,Ithran,Gen. 36
284,Cheran,Gen. 36
285,Bilhan,Gen. 36
286,Zaavan,Gen. 36
287,Akan,Gen. 36
288,Uz,Son of Dishan (Gen. 36)
289,Aran,Gen. 36
